key,ko,en,ja,vi
toast_report_failed,신고가 실패하였습니다.,Failed to submit your report.,通報の送信に失敗しました。,Không thể gửi báo cáo.
toast_nickname_change_failed,닉네임 변경에 실패했어요.,Failed to change your nickname.,ニックネームの変更に失敗しました。,Không thể đổi biệt danh.
toast_college_required,단과대를 먼저 선택해주세요.,Please select your college first.,先に学部を選択してください。,Vui lòng chọn trường/khoa trước.
toast_department_required,학과를 선택해주세요.,Please select your department.,学科を選択してください。,Vui lòng chọn ngành học.
toast_info_updated,정보가 업데이트되었습니다.,Your information has been updated.,情報を更新しました。,Thông tin của bạn đã được cập nhật.
toast_nickname_changed,닉네임이 변경되었습니다.,Your nickname has been changed.,ニックネームを変更しました。,Biệt danh của bạn đã được thay đổi.
toast_department_updated,학과 정보가 업데이트되었습니다.,Your department information has been updated.,学科情報を更新しました。,Thông tin ngành/khoa của bạn đã được cập nhật.
toast_no_changes,변경사항이 없습니다.,No changes were made.,変更はありません。,Không có thay đổi nào.
nickname_error_length,%1$d~%2$d글자를 입력해 주세요.,Please enter %1$d to %2$d characters.,%1$d〜%2$d文字で入力してください。,Vui lòng nhập từ %1$d đến %2$d ký tự.
nickname_error_whitespace,띄어쓰기를 제외한 공백 문자는 사용할 수 없어요.,Whitespace characters other than spaces are not allowed.,スペース以外の空白文字は使用できません。,Không được sử dụng ký tự khoảng trắng ngoài dấu cách.
nickname_error_consecutive_space,연속된 띄어쓰기는 사용할 수 없어요.,Consecutive spaces are not allowed.,連続したスペースは使用できません。,Không được nhập nhiều dấu cách liên tiếp.
nickname_error_allowed_chars,허용 문자(한글/영문/숫자)만 사용할 수 있어요.,"Only Korean, English letters, and numbers are allowed.",韓国語、英字、数字のみ使用できます。,"Chỉ được dùng chữ Hàn, chữ tiếng Anh và số."
nickname_error_consecutive_special,"연속된 특수문자(--, __)는 사용할 수 없어요.","Consecutive special characters (--, __) are not allowed.",連続した特殊文字（--、__）は使用できません。,"Không được dùng ký tự đặc biệt liên tiếp (--, __)."
nickname_error_only_numbers,숫자만으로 된 닉네임은 사용할 수 없어요.,A nickname cannot contain only numbers.,数字だけのニックネームは使用できません。,Biệt danh không được chỉ gồm số.
nickname_error_special_position,특수문자로 시작/끝나는 닉네임은 사용할 수 없어요.,A nickname cannot start or end with a special character.,特殊文字で始まる、または終わるニックネームは使用できません。,Biệt danh không được bắt đầu hoặc kết thúc bằng ký tự đặc biệt.
nickname_error_profanity,"욕설, 비속어 등의 표현이 포함된 닉네임은 사용할 수 없어요.",Nicknames containing profanity or abusive language are not allowed.,暴言や不適切な表現を含むニックネームは使用できません。,Không được dùng biệt danh chứa từ ngữ thô tục hoặc xúc phạm.
nickname_error_invalid,올바르지 않은 닉네임이에요.,This nickname is not valid.,このニックネームは使用できません。,Biệt danh này không hợp lệ.
toast_app_init_error,앱 초기화 중 오류가 발생했습니다,An error occurred while initializing the app.,アプリの初期化中にエラーが発生しました。,Đã xảy ra lỗi khi khởi tạo ứng dụng.
toast_app_update_required,앱을 업데이트해주세요,Please update the app.,アプリをアップデートしてください。,Vui lòng cập nhật ứng dụng.
toast_partnership_info_not_found,제휴 정보가 없습니다.,No partner information found.,提携情報がありません。,Không có thông tin đối tác.
toast_login_failed,로그인에 실패했어요.,Login failed.,ログインに失敗しました。,Đăng nhập thất bại.
toast_logout_success,로그아웃했어요.,You have been logged out.,ログアウトしました。,Bạn đã đăng xuất.
toast_token_invalid,다시 로그인해주세요.,Please log in again.,もう一度ログインしてください。,Vui lòng đăng nhập lại.
toast_token_expired,세션이 만료되어 다시 로그인해주세요.,Your session has expired. Please log in again.,セッションの有効期限が切れました。もう一度ログインしてください。,Phiên đăng nhập đã hết hạn. Vui lòng đăng nhập lại.
toast_require_nickname,닉네임을 설정해주세요.,Please set a nickname.,ニックネームを設定してください。,Vui lòng đặt biệt danh.
toast_notification_enable,EAT-SSU 수신 동의 (%1$s),EAT-SSU notifications enabled (%1$s),EAT-SSUの通知をオンにしました（%1$s）,Đã bật thông báo EAT-SSU (%1$s)
toast_notification_disable,EAT-SSU 수신 거절 (%1$s),EAT-SSU notifications disabled (%1$s),EAT-SSUの通知をオフにしました（%1$s）,Đã tắt thông báo EAT-SSU (%1$s)
toast_oss_load_fail,오픈소스 라이브러리를 불러올 수 없어요.,Could not load open-source libraries.,オープンソースライブラリを読み込めませんでした。,Không thể tải thư viện mã nguồn mở.
toast_sign_out_success,회원탈퇴되었어요.,Your account has been deleted.,アカウントを削除しました。,Tài khoản của bạn đã được xóa.
toast_sign_out_fail,회원탈퇴에 실패했어요.,Failed to delete your account.,アカウントの削除に失敗しました。,Không thể xóa tài khoản.
review_how_was_meal,오늘의 식사는 어땠나요?,How was your meal today?,今日の食事はいかがでしたか？,Bữa ăn hôm nay của bạn thế nào?
review_recommend_menu,추천하고 싶은 메뉴가 있나요?,Any dishes you'd recommend?,おすすめしたいメニューはありますか？,Bạn muốn giới thiệu món nào không?
review_placeholder,메뉴에 대한 상세한 리뷰를 작성해주세요,Write a detailed review of the menu,メニューについて詳しいレビューを書いてください,Hãy viết đánh giá chi tiết về món ăn
review_preparing,화면을 준비하는 중입니다.,Preparing the screen.,画面を準備しています。,Đang chuẩn bị màn hình.
review_posting,작성 중...,Posting...,投稿中...,Đang đăng...
review_modifying,수정 중...,Updating...,更新中...,Đang cập nhật...
review_photo_delete_hint,"사진 클릭 시, 삭제됩니다.",Tap a photo to delete it.,写真をタップすると削除されます。,Nhấn vào ảnh để xóa.
review_photo_count,사진 추가(%1$d/%2$d),Add Photo (%1$d/%2$d),写真を追加（%1$d/%2$d）,Thêm ảnh (%1$d/%2$d)
review_settings,리뷰 설정,Review Settings,レビュー設定,Cài đặt đánh giá
review_error_occurred,에러가 발생했습니다.,An error occurred.,エラーが発生しました。,Đã xảy ra lỗi.
review_write,리뷰 작성하기,Write a Review,レビューを書く,Viết đánh giá
review,리뷰,Reviews,レビュー,Đánh giá
my_review,내 리뷰,My Reviews,自分のレビュー,Đánh giá của tôi
none_review,아직 작성한 리뷰가 없어요,No reviews yet,まだレビューがありません,Chưa có đánh giá
none_review_my,첫 리뷰를 남겨 주세요!,Be the first to leave a review!,最初のレビューを投稿しましょう！,Hãy là người đầu tiên để lại đánh giá!
none_review_list_detail,메뉴에 가장 먼저 리뷰를 남겨주세요!,Be the first to review this menu item!,このメニューに最初のレビューを残しましょう！,Hãy là người đầu tiên đánh giá món này!
rate_n,%1$d점,%1$d pts,%1$d点,%1$d điểm
today_menu,오늘의 메뉴,Today's Menu,今日のメニュー,Thực đơn hôm nay
price,가격,Price,価格,Giá
rate,평점,★,★,★
student_cafeteria,학생식당,Student Cafeteria,学生食堂,Nhà ăn sinh viên
widget_select_restaurant,확인하고 싶은 식당을 선택하세요.,Select the cafeteria you want to check.,確認したい食堂を選択してください。,Chọn nhà ăn bạn muốn xem.
widget_select,선택하기,Select,選択,Chọn
widget_morning,아침,Breakfast,朝食,Bữa sáng
widget_lunch,점심,Lunch,昼食,Bữa trưa
widget_dinner,저녁,Dinner,夕食,Bữa tối
widget_no_menu,오늘의 메뉴가 없습니다.,No menu available today.,今日のメニューはありません。,Hôm nay không có thực đơn.
widget_loading,로딩 중,Loading,読み込み中,Đang tải
widget_network_error,네트워크 연결 상태를 확인해주세요.,Please check your network connection.,ネットワーク接続を確認してください。,Vui lòng kiểm tra kết nối mạng.
widget_setup_required,설정 필요,Setup Required,設定が必要です,Cần thiết lập
widget_select_prompt,위젯 설정에서 식당을 선택해주세요.,Please select a cafeteria in Widget Settings.,ウィジェット設定で食堂を選択してください。,Vui lòng chọn nhà ăn trong Cài đặt widget.
mypage,마이페이지,My Page,マイページ,Trang của tôi
my_info,내 정보,My Info,自分の情報,Thông tin của tôi
logout,로그아웃,Log Out,ログアウト,Đăng xuất
signout,회원탈퇴,Delete Account,アカウント削除,Xóa tài khoản
app_version,앱 버전,App Version,アプリバージョン,Phiên bản ứng dụng
mypage_push_notification_title,푸시 알림 설정,Push Notification Settings,プッシュ通知設定,Cài đặt thông báo đẩy
mypage_push_notification_description,매일 오전 11시에 알림을 보내드려요,We'll send you a notification every day at 11:00 AM.,毎日午前11時に通知をお送りします。,Bạn sẽ nhận được thông báo mỗi ngày lúc 11:00.
language_setting,언어 설정,Language Settings,言語設定,Cài đặt ngôn ngữ
language_select_description,사용할 언어를 선택하세요.,Choose the language you want to use.,使用する言語を選択してください。,Chọn ngôn ngữ bạn muốn sử dụng.
language_system_default,시스템 언어 (기본값),System Language (Default),システム言語（デフォルト）,Ngôn ngữ hệ thống (mặc định)
kakao,카카오,Kakao,カカオ,Kakao
connect_account,연결된 계정,Connected Account,連携済みアカウント,Tài khoản đã liên kết
nickname,닉네임,Nickname,ニックネーム,Biệt danh
set_nickname,닉네임을 설정해주세요,Please set a nickname,ニックネームを設定してください,Vui lòng đặt biệt danh
set_nickname_length,%1$d~%2$d글자를 입력해주세요.,Please enter %1$d to %2$d characters.,%1$d〜%2$d文字で入力してください。,Vui lòng nhập từ %1$d đến %2$d ký tự.
set_nickname_able,사용 가능한 닉네임입니다!,This nickname is available!,使用できるニックネームです！,Biệt danh này có thể sử dụng!
userinfo_nickname_setting,닉네임 설정,Edit Nickname,ニックネーム編集,Chỉnh sửa biệt danh
userinfo_affiliation_setting,소속 설정,College & Department,学部・学科,Trường & Ngành
not_found,정보를 불러올 수 없어요.,Could not load the information.,情報を読み込めませんでした。,Không thể tải thông tin.
server_error_title,통신 오류,Connection Error,通信エラー,Lỗi kết nối
server_error_message,서버와 통신할 수 없습니다.\n잠시 후 다시 시도해주세요.,Unable to communicate with the server.\nPlease try again later.,サーバーと通信できません。\nしばらくしてからもう一度お試しください。,Không thể kết nối với máy chủ.\nVui lòng thử lại sau.
report_title,리뷰를 신고하는 이유를 선택해주세요.,Please choose why you are reporting this review.,このレビューを通報する理由を選択してください。,Vui lòng chọn lý do bạn báo cáo đánh giá này.
report_sub,하나의 리뷰에 대해 24시간 내 한 번만 신고 가능합니다.,You can report the same review only once within 24 hours.,同じレビューは24時間以内に1回のみ通報できます。,Bạn chỉ có thể báo cáo cùng một đánh giá một lần trong vòng 24 giờ.
report_write_hint,리뷰 신고 사유를 작성해 주세요,Please write the reason for reporting this review,レビューを通報する理由を入力してください,Vui lòng nhập lý do báo cáo đánh giá này
max_150,최대 150자,Up to 150 characters,最大150文字,Tối đa 150 ký tự
app_slogan_part1,숭실대에서,Eat at,崇実大で,Ăn tại
app_slogan_part2,먹자,Soongsil,食べよう,Soongsil
inquire,문의하기,Contact Us,お問い合わせ,Liên hệ
service_rule,서비스 이용약관,Terms of Service,利用規約,Điều khoản dịch vụ
private_information,개인정보 처리방침,Privacy Policy,プライバシーポリシー,Chính sách quyền riêng tư
policy,개인정보 처리방침,Privacy Policy,プライバシーポリシー,Chính sách quyền riêng tư
terms,서비스 이용약관,Terms of Service,利用規約,Điều khoản dịch vụ
developer,만든 사람들,Credits,開発者,Thông tin đội ngũ
oss_licenses,오픈소스 라이브러리,Open-Source Libraries,オープンソースライブラリ,Thư viện mã nguồn mở
signout_question,정말 탈퇴하시겠습니까?,Are you sure you want to delete your account?,本当にアカウントを削除しますか？,Bạn có chắc muốn xóa tài khoản không?
signout_description,"작성한 리뷰는 삭제되지 않으며, (알수없음)으로 표시됩니다.\n자세한 내용은 서비스 이용약관 및 개인정보처리방침을 확인해 주세요.","Your reviews will not be deleted and will appear as (Unknown).\nFor details, please check the Terms of Service and Privacy Policy.",投稿したレビューは削除されず、(不明)として表示されます。\n詳細は利用規約およびプライバシーポリシーをご確認ください。,Đánh giá của bạn sẽ vẫn hiển thị là (Không xác định).\nXem Điều khoản và Chính sách để biết thêm.
signout_nickname,닉네임을 입력해주세요,Please enter your nickname,ニックネームを入力してください,Vui lòng nhập biệt danh của bạn
notification_context_title,🤔 오늘 밥 뭐 먹지,🤔 What should I eat today?,🤔 今日何食べよう？,🤔 Hôm nay ăn gì đây?
notification_context_text,오늘의 학식을 확인해보세요!,Check today's cafeteria menu!,今日の学食メニューをチェックしましょう！,Xem thực đơn nhà ăn hôm nay!
notification_channel_lunch_name,점심시간 전 알림,Before-Lunch Notifications,昼食前通知,Thông báo trước bữa trưa
notification_channel_lunch_description,"점심시간 전, 푸시알림을 발송합니다.",Sends push notifications before lunchtime.,昼食前にプッシュ通知を送信します。,Gửi thông báo đẩy trước giờ ăn trưa.
notification_channel_server_name,서버가 보낸 알림,Server Notifications,サーバー通知,Thông báo từ máy chủ
notification_channel_server_description,잇슈 서버가 보낸 알림을 표시합니다.,Shows notifications sent by the EAT-SSU server.,EAT-SSUサーバーから送信された通知を表示します。,Hiển thị thông báo được gửi từ máy chủ EAT-SSU.
input_department,학과 입력하기,Enter your department,学科を入力,Nhập ngành học của bạn
input_string_description,학과를 입력하고\n나만의 제휴를 확인해보세요!,Enter your department\nand check your personalized partnerships!,学科を入力して\n自分だけの提携特典を確認しましょう！,Nhập ngành học của bạn\nvà xem các ưu đãi dành riêng cho bạn!
map_unknown_college_department,단과대/학과 정보를 알 수 없음,College/Department information unavailable,学部・学科情報を確認できません,Không có thông tin khoa/ngành
location,식당 위치,Location,場所,Vị trí
etc,비고,Notes,備考,Ghi chú
time,영업 시간,Hours,営業時間,Giờ mở cửa
favorite_partnership,찜한 제휴,Favorite Partners,お気に入りの提携,Ưu đãi yêu thích
partnership_filter_mine,내 제휴,My Partners,自分の提携,Ưu đãi của tôi
partnership_filter_all,전체,All,すべて,Tất cả
partnership_filter_department_placeholder,학과,Department,学科,Ngành/Khoa
policy_url,https://github.com/EAT-SSU/Docs/wiki/EAT%E2%80%90SSU-%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC%EB%B0%A9%EC%B9%A8,,,
terms_url,https://github.com/EAT-SSU/Docs/wiki/EAT%E2%80%90SSU-%EC%84%9C%EB%B9%84%EC%8A%A4-%EC%9D%B4%EC%9A%A9%EC%95%BD%EA%B4%80,,,
anyone_but_me_url,https://eatssu-coffee.figma.site/,,,
eatssu_instagram,eatssu.official,,,
eatssu_instagram_url,https://www.instagram.com/eatssu.official/,,,
eatssu_event_instagram_url,https://www.instagram.com/p/DVu1n6SEs5b/,,,
recruiting_url,https://eat-ssu.notion.site/1d2eeef75a1681ae800cf6ffa6faa37d?pvs=74,,,
,EAT SSU 팀에게 보내기,Send to the EAT SSU Team,EAT SSUチームに送信,Gửi đến nhóm EAT SSU
,신고하기,Report,通報,Báo cáo
,사유를 선택해주세요!,Please select a reason!,理由を選択してください！,Vui lòng chọn lý do!
,신고가 성공적으로 접수되었어요!,Your report has been submitted successfully!,通報が正常に送信されました！,Báo cáo của bạn đã được gửi thành công!
,메뉴와 관련없는 내용,Content unrelated to the menu item,メニューと関係のない内容,Nội dung không liên quan đến thực đơn
,"음란성, 욕설 등 부적절한 내용",Explicit or abusive content,わいせつ、暴言など不適切な内容,Nội dung nhạy cảm hoặc xúc phạm
,부적절한 홍보 또는 광고,Inappropriate promotion or advertisement,不適切な宣伝または広告,Quảng cáo hoặc quảng bá không phù hợp
,리뷰 작성 취지에 맞지 않는 내용 (복사글 등),Not review-related (e.g. copied text),レビューの趣旨に合わない内容（コピー文など）,Không liên quan đến đánh giá
,저작권 도용 의심 (사진 등),Suspected copyright infringement (e.g. photos),著作権侵害の疑い（写真など）,"Nghi ngờ vi phạm bản quyền (ảnh, v.v.)"
,기타 (하단 내용 작성),Other (write details below),その他（下部に内容を入力）,Khác (viết nội dung bên dưới)
,리뷰 신고 사유를 알려주세요,Tell us why you are reporting this review,レビューを通報する理由を教えてください,Vui lòng cho biết lý do báo cáo đánh giá này
